--------- beginning of /dev/log/system
07-14 12:14:51.338 W/ActivityManager(  374):   Force finishing activity com.android.packageinstaller/.PackageInstallerActivity
07-14 12:14:51.580 W/ActivityManager(  374):   Force finishing activity com.pekall.emdm/.market.activity.AppListActivity
07-14 12:14:52.080 W/ActivityManager(  374): Activity pause timeout for ActivityRecord{42e8dd90 u0 com.android.packageinstaller/.PackageInstallerActivity}
07-14 12:15:30.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:15:30.596 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:15:41.823 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:15:41.830 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:15:42.440 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:15:42.815 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:15:42.838 I/WindowManager(  374): Lock screen displayed!
07-14 12:15:44.065 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:15:44.135 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:15:59.041 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:15:59.041 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:15:59.682 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:16:00.049 I/WindowManager(  374): Lock screen displayed!
07-14 12:16:00.057 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:16:02.190 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:16:02.260 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:16:17.174 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:16:18.580 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:16:18.721 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:16:18.776 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:16:18.815 I/WindowManager(  374): Lock screen displayed!
07-14 12:16:21.002 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:16:21.080 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:16:30.151 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:16:30.151 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:16:30.151 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:16:30.151 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:16:30.158 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:16:30.158 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:16:30.158 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:16:30.158 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:16:30.174 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:16:30.198 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:16:30.198 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:16:30.198 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:16:30.198 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:16:30.205 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:16:30.557 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:16:30.557 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:16:30.557 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:16:30.565 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:16:30.573 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:16:30.573 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:16:30.573 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:16:30.573 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:16:30.580 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:16:30.580 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:16:30.580 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:16:30.580 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:16:30.580 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:16:30.588 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:16:35.955 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:16:35.963 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:16:36.518 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:16:36.846 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:16:37.002 I/WindowManager(  374): Lock screen displayed!
07-14 12:16:38.877 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:16:38.955 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:16:53.846 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:16:55.080 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:16:55.221 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:17:26.096 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:17:26.143 I/WindowManager(  374): Lock screen displayed!
07-14 12:17:28.455 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:17:28.541 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:17:29.088 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 374
07-14 12:17:30.213 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:17:30.213 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:17:30.213 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:17:30.221 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:17:30.221 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:17:30.221 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:17:30.221 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:17:30.221 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:17:30.229 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:17:30.229 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:17:30.229 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:17:30.229 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:17:30.229 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:17:30.237 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:17:30.533 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:17:30.541 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:17:30.541 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:17:30.541 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:17:30.541 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:17:30.541 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:17:30.541 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:17:30.549 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:17:30.549 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:17:30.549 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:17:30.549 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:17:30.557 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:17:30.557 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:17:30.557 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:17:58.713 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:18:00.307 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:18:00.416 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:18:30.244 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:18:30.244 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:18:30.244 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:18:30.252 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:18:30.260 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:18:30.260 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:18:30.260 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:18:30.487 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:18:30.494 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:18:32.799 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:18:32.838 I/WindowManager(  374): Lock screen displayed!
07-14 12:18:34.994 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:18:35.065 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:18:35.651 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 374
07-14 12:19:05.026 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:19:06.291 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:19:06.565 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:19:30.283 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:19:30.283 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:19:30.291 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:19:30.299 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:19:30.299 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:19:30.299 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:19:30.299 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:19:30.299 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:19:30.526 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:19:30.526 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:19:30.526 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:19:30.526 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:19:30.526 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:19:30.526 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:19:30.533 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:19:30.541 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:19:36.705 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:19:36.752 I/WindowManager(  374): Lock screen displayed!
07-14 12:19:38.854 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:19:38.924 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:19:51.604 I/ActivityManager(  374): Process com.android.packageinstaller (pid 4241) has died.
07-14 12:19:53.807 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:19:53.815 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:19:54.362 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:19:54.830 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:19:54.877 I/WindowManager(  374): Lock screen displayed!
07-14 12:19:56.112 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:19:56.205 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:19:56.229 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@43148dd8 attribute=android.view.inputmethod.EditorInfo@42f627e0, token = android.os.BinderProxy@42ea3d30
07-14 12:20:11.073 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:20:12.057 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:20:12.221 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:20:30.424 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:20:30.424 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:20:30.424 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:20:30.424 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:20:30.432 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:20:30.440 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:20:30.674 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-14 12:20:30.674 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-14 12:20:30.674 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-14 12:20:30.682 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-14 12:20:30.690 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-14 12:20:43.408 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:20:43.448 I/WindowManager(  374): Lock screen displayed!
07-14 12:20:45.627 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:20:45.737 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:20:45.744 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4309f028 attribute=android.view.inputmethod.EditorInfo@4309f088, token = android.os.BinderProxy@42ea3d30
07-14 12:20:46.604 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10200000 cmp=com.android.launcher/com.android.launcher2.Launcher} from pid 374
07-14 12:20:48.737 I/ActivityManager(  374): START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.pekall.emdm/.ui.SplashActivity} from pid 595
07-14 12:20:49.901 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.document.activity.DocMainActivity} from pid 3494
07-14 12:20:51.205 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.document.activity.CompanyDocActivity} from pid 3494
07-14 12:21:01.651 I/ActivityManager(  374): Start proc com.google.android.apps.maps for service com.google.android.apps.maps/com.google.googlenav.prefetch.android.PrefetcherService: pid=4865 uid=10038 gids={50038, 3003, 1015, 1028}
07-14 12:21:06.104 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-14 12:21:07.002 I/WindowManager(  374): Screenshot Window{42cbf220 u0 com.pekall.emdm/com.pekall.emdm.document.activity.CompanyDocActivity} was all black! mSurfaceLayer=21020 minLayer=21000 maxLayer=21020
07-14 12:21:07.401 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-14 12:21:07.565 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-14 12:21:25.065 I/PowerManagerService(  374): Waking up from sleep...
07-14 12:21:25.174 I/WindowManager(  374): Lock screen displayed!
07-14 12:21:27.307 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-14 12:21:27.377 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-14 12:21:27.471 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42d73f68 attribute=android.view.inputmethod.EditorInfo@42d16fe8, token = android.os.BinderProxy@42fde9e0
