--------- beginning of /dev/log/system
07-11 13:52:26.719 I/ActivityManager(  374): No longer want com.google.android.apps.maps:FriendService (pid 27635): empty #17
07-11 13:53:12.015 I/ActivityManager(  374): Process com.android.packageinstaller (pid 27842) has died.
07-11 13:53:22.773 I/PowerManagerService(  374): Waking up from sleep...
07-11 13:53:22.804 I/WindowManager(  374): Lock screen displayed!
07-11 13:53:23.703 I/ActivityManager(  374): Process com.google.android.apps.plus (pid 29152) has died.
07-11 13:53:25.195 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-11 13:53:25.289 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-11 13:53:25.304 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42bbbfb8 attribute=android.view.inputmethod.EditorInfo@42634760, token = android.os.BinderProxy@425fcae0
07-11 13:53:26.140 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=0.0 v=4000.0)
07-11 13:53:26.773 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:53:26.773 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:53:26.773 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:53:26.773 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:53:26.773 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:53:26.773 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:53:26.781 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:53:26.789 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:53:27.094 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:53:27.094 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:53:27.094 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:53:27.101 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:53:27.101 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:53:27.101 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:53:27.101 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:53:27.117 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:53:27.117 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:53:27.125 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:53:27.125 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:53:27.125 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:53:27.125 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:53:27.125 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:53:31.906 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.market.activity.AppListActivity bnds=[0,242][720,370] (has extras)} from pid -1
07-11 13:53:31.906 W/ActivityManager(  374): startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { cmp=com.pekall.emdm/.market.activity.AppListActivity bnds=[0,242][720,370] (has extras) }
07-11 13:53:31.961 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=1184.0 v=-4000.0)
07-11 13:53:31.969 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=1184.0 v=-4000.0)
07-11 13:53:39.094 I/ActivityManager(  374): START u0 {cmp=com.pekall.emdm/.market.activity.AppDetailActivity (has extras)} from pid 3259
07-11 13:54:26.929 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:54:26.929 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:54:26.929 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:54:26.929 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:54:26.937 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:54:26.937 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:54:26.937 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:54:26.937 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:54:26.945 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:54:26.945 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:54:26.945 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:54:26.945 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:54:26.945 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:54:26.953 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:54:27.336 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:54:27.336 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:54:27.336 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:54:27.344 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:54:27.351 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:54:27.351 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:54:27.351 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:54:27.351 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:54:44.351 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-11 13:54:50.367 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-11 13:54:50.531 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-11 13:55:10.320 I/PowerManagerService(  374): Waking up from sleep...
07-11 13:55:10.375 I/WindowManager(  374): Lock screen displayed!
07-11 13:55:11.828 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-11 13:55:11.922 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-11 13:55:11.929 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4259cd10 attribute=android.view.inputmethod.EditorInfo@4275ed30, token = android.os.BinderProxy@42c679d0
07-11 13:55:15.914 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=990.0 v=3444.184)
07-11 13:55:15.914 V/PanelView(  450): animationTick called with dtms=-15; nothing to do (h=990.0 v=3444.184)
07-11 13:55:18.312 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=1184.0 v=-4000.0)
07-11 13:55:18.312 V/PanelView(  450): animationTick called with dtms=-3; nothing to do (h=1184.0 v=-4000.0)
07-11 13:55:18.672 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42986578 attribute=null, token = android.os.BinderProxy@42c679d0
07-11 13:55:19.359 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=1137.0 v=1036.59)
07-11 13:55:19.359 V/PanelView(  450): animationTick called with dtms=-3; nothing to do (h=1137.0 v=1036.59)
07-11 13:55:27.117 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:55:27.117 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:55:27.125 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:55:27.133 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:55:27.140 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:55:27.140 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:55:27.140 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:55:27.414 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:55:27.414 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:55:27.414 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:55:27.422 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:55:27.422 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:55:27.422 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:55:27.422 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:55:27.422 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:55:27.429 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:55:27.429 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:55:27.429 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:55:27.437 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:55:27.445 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:55:27.445 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:56:11.976 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-11 13:56:13.023 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@42090ba0 attribute=android.view.inputmethod.EditorInfo@4307da20, token = android.os.BinderProxy@42c679d0
07-11 13:56:17.992 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-11 13:56:18.125 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-11 13:56:27.234 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:56:27.234 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:56:27.234 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:56:27.242 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:56:27.250 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:56:27.250 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:56:27.484 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:56:27.484 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:56:27.484 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:56:27.492 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:56:27.500 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:56:27.500 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:56:27.500 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:56:27.500 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:57:27.195 I/ActivityManager(  374): No longer want com.google.android.music:main (pid 24475): empty for 1803s
07-11 13:57:27.219 W/ActivityManager(  374): Scheduling restart of crashed service com.google.android.music/.playback.MusicPlaybackService in 5000ms
07-11 13:57:27.422 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:57:27.429 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:57:27.429 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:57:27.429 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:57:27.429 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:57:27.429 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:57:27.437 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:57:27.437 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:57:27.437 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:57:27.437 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:57:27.437 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:57:27.445 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:57:27.445 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:57:27.445 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:57:27.664 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:57:27.664 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:57:27.664 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:57:27.672 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:57:27.672 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:57:27.672 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:57:27.672 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:57:27.672 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:57:27.672 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:57:27.679 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:57:27.679 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:57:27.679 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:57:27.679 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:57:27.679 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:57:32.234 I/ActivityManager(  374): Start proc com.google.android.music:main for service com.google.android.music/.playback.MusicPlaybackService: pid=30307 uid=10041 gids={50041, 3003, 1015, 1028}
07-11 13:58:05.047 W/ProcessStats(  374): Skipping unknown process pid 30399
07-11 13:58:07.164 I/PowerManagerService(  374): Waking up from sleep...
07-11 13:58:07.281 I/WindowManager(  374): Lock screen displayed!
07-11 13:58:10.570 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-11 13:58:10.648 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-11 13:58:10.656 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@425a7c38 attribute=null, token = android.os.BinderProxy@42c679d0
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:58:27.640 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:58:27.648 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:58:27.648 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:58:27.648 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:58:27.648 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:58:27.648 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:58:27.648 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:58:27.945 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:58:27.953 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:58:27.961 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:58:27.961 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:58:27.961 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:58:27.961 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:58:27.961 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:58:40.539 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-11 13:58:46.445 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-11 13:58:46.531 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
07-11 13:59:10.336 W/ProcessStats(  374): Skipping unknown process pid 30580
07-11 13:59:27.890 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:59:27.898 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:59:27.898 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:59:27.898 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:59:27.898 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:59:27.906 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:59:27.914 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/storage/emulated/0/external_sd): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/sdcard-ext): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/ext_sdcard): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/sdcard2): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/emmc): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/extSdCard): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/sdcard/SD_CARD): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/sdcard/extra_sd): Unknown volume
07-11 13:59:28.133 W/MountService(  374): getVolumeState(/mnt/extrasd_bind): Unknown volume
07-11 13:59:28.140 W/MountService(  374): getVolumeState(/mnt/sdcard/ext_sd): Unknown volume
07-11 13:59:28.140 W/MountService(  374): getVolumeState(/storage/extSdCard): Unknown volume
07-11 13:59:28.140 W/MountService(  374): getVolumeState(/storage/sdcard1): Unknown volume
07-11 13:59:28.140 W/MountService(  374): getVolumeState(/mnt/sdcard/external_SD): Unknown volume
07-11 13:59:28.148 W/MountService(  374): getVolumeState(/mnt/sdcard/external_sd): Unknown volume
07-11 13:59:36.406 I/PowerManagerService(  374): Waking up from sleep...
07-11 13:59:36.547 I/WindowManager(  374): Lock screen displayed!
07-11 13:59:37.640 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK HOME recent* CLOCK search >
07-11 13:59:37.734 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back* home* recent clock* search >
07-11 13:59:37.734 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@424ea850 attribute=android.view.inputmethod.EditorInfo@427670b8, token = android.os.BinderProxy@42c679d0
07-11 13:59:41.781 V/PanelView(  450): animationTick called with dtms=0; nothing to do (h=840.0 v=2165.4724)
07-11 13:59:41.781 V/PanelView(  450): animationTick called with dtms=-3; nothing to do (h=840.0 v=2165.4724)
07-11 14:00:14.328 I/PowerManagerService(  374): Going to sleep due to screen timeout...
07-11 14:00:15.234 W/InputMethodManagerService(  374): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@4255ea90 attribute=android.view.inputmethod.EditorInfo@43020cb0, token = android.os.BinderProxy@42c679d0
07-11 14:00:20.304 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info back home RECENT* clock search >
07-11 14:00:20.469 D/PhoneStatusBar(  450): disable: < expand icons alerts ticker system_info BACK* HOME* RECENT CLOCK* search >
